model_key,family,params_b,tuning,tier,conflict_type,prompt_style,score_mode,n,mean,ci_low,ci_high,positive_fraction,t,p
gemma2_9b_base,Gemma,9.0,base,large_7b9b,antonym_remapping,glossary,mean_logprob,80.0,1.7452433850616216,1.2948114901874217,2.185553225589295,0.825,7.758903354289852,2.5671002048616575e-11
gemma2_9b_base,Gemma,9.0,base,large_7b9b,antonym_remapping,technical_document,sum_logprob,80.0,2.892819941261162,2.4059726474123693,3.3536619650130164,0.9,11.919031373075484,2.4700057417390763e-19
gemma2_9b_base,Gemma,9.0,base,large_7b9b,antonym_remapping,technical_document,mean_logprob,80.0,2.8560885857635485,2.355363641056077,3.3208025820056597,0.8875,11.642051356430198,8.134037653005179e-19
gemma2_9b_base,Gemma,9.0,base,large_7b9b,arbitrary_semantic_remapping,definition_scope,sum_logprob,36.0,2.304545552642258,1.7263118194209206,2.9536392879706845,0.9444444444444444,7.4470740522308,1.0214213920056782e-08
gemma2_9b_base,Gemma,9.0,base,large_7b9b,arbitrary_semantic_remapping,definition_scope,mean_logprob,36.0,2.304545552642258,1.7263118194209206,2.9536392879706845,0.9444444444444444,7.4470740522308,1.0214213920056782e-08
gemma2_9b_base,Gemma,9.0,base,large_7b9b,arbitrary_semantic_remapping,game_rule,sum_logprob,36.0,2.663953573615463,1.7007159076355125,3.7621294177240805,0.8333333333333334,5.074760644892297,1.2798054894381265e-05
gemma2_9b_base,Gemma,9.0,base,large_7b9b,arbitrary_semantic_remapping,game_rule,mean_logprob,36.0,2.663953573615463,1.7007159076355125,3.7621294177240805,0.8333333333333334,5.074760644892297,1.2798054894381265e-05
gemma2_9b_base,Gemma,9.0,base,large_7b9b,arbitrary_semantic_remapping,glossary,sum_logprob,36.0,5.0691008788568,4.145882158754049,6.017373080441246,0.9444444444444444,10.6906644284998,1.4352447101410244e-12
gemma2_9b_base,Gemma,9.0,base,large_7b9b,arbitrary_semantic_remapping,glossary,mean_logprob,36.0,5.0691008788568,4.145882158754049,6.017373080441246,0.9444444444444444,10.6906644284998,1.4352447101410244e-12
gemma2_9b_base,Gemma,9.0,base,large_7b9b,arbitrary_semantic_remapping,technical_document,sum_logprob,36.0,4.210660543706682,3.3098647940489982,5.161613124388235,0.9722222222222222,8.967881741092295,1.3532165377964262e-10
gemma2_9b_base,Gemma,9.0,base,large_7b9b,arbitrary_semantic_remapping,technical_document,mean_logprob,36.0,4.210660543706682,3.3098647940489982,5.161613124388235,0.9722222222222222,8.967881741092295,1.3532165377964262e-10
gemma2_9b_base,Gemma,9.0,base,large_7b9b,polysemy_entity_remapping,definition_scope,sum_logprob,30.0,1.5626011265648738,0.72954636587037,2.3746534268061326,0.8,3.7472259670991623,0.0007910527402017667
