model_key,scan_type,component_type,layer,head,name,recovery,target_delta,distractor_delta,is_nondegenerate_component
olmo_1b_base,writer_source_positions,attn_head,6,7,L6H7,-0.005804509250169221,-0.005245774984359741,0.005887940526008606,True
olmo_1b_base,writer_source_positions,attn_head,6,8,L6H8,0.0007463807223771507,0.001523524522781372,9.188055992126465e-05,True
olmo_1b_base,writer_source_positions,attn_head,6,9,L6H9,0.006915154156021352,0.012268394231796265,-0.0009956657886505127,True
olmo_1b_base,writer_source_positions,attn_head,6,10,L6H10,-0.007740860553449432,-0.023602426052093506,-0.008754566311836243,True
olmo_1b_base,writer_source_positions,attn_head,6,11,L6H11,0.024700155396286165,0.06244763731956482,0.015069901943206787,True
olmo_1b_base,writer_source_positions,attn_head,6,12,L6H12,-0.00039899004455397894,-0.0044741034507751465,-0.0037087947130203247,True
olmo_1b_base,writer_source_positions,attn_head,6,13,L6H13,-0.0010547960881123278,-0.011614739894866943,-0.009591519832611084,True
olmo_1b_base,writer_source_positions,attn_head,6,14,L6H14,-0.007985891511904172,-0.0011820495128631592,0.014135807752609253,True
olmo_1b_base,writer_source_positions,attn_head,6,15,L6H15,0.0006030258421778755,0.001576453447341919,0.0004197806119918823,True
olmo_1b_base,writer_source_positions,mlp,6,-1,L6MLP,-0.08579037963134808,-0.04535743594169617,0.11919836699962616,True
olmo_1b_base,writer_source_positions,attn_head,7,0,L7H0,0.0017937189074389553,0.0020258426666259766,-0.0014147162437438965,True
olmo_1b_base,writer_source_positions,attn_head,7,1,L7H1,-0.00210809282696554,-0.0024874508380889893,0.001556113362312317,True
olmo_1b_base,writer_source_positions,attn_head,7,2,L7H2,0.008377307123672463,0.0012914836406707764,-0.014777153730392456,True
olmo_1b_base,writer_source_positions,attn_head,7,3,L7H3,0.002277558136490657,-0.005460590124130249,-0.009829208254814148,True
olmo_1b_base,writer_source_positions,attn_head,7,4,L7H4,-0.0008666782523118917,-0.001583874225616455,7.85142183303833e-05,True
olmo_1b_base,writer_source_positions,attn_head,7,5,L7H5,-0.0005074869966410692,0.0072106122970581055,0.008184030652046204,True
olmo_1b_base,writer_source_positions,attn_head,7,6,L7H6,0.0003174736104819584,-0.004649907350540161,-0.0052588582038879395,True
olmo_1b_base,writer_source_positions,attn_head,7,7,L7H7,0.003957777081879463,0.0006695985794067383,-0.006921872496604919,True
olmo_1b_base,writer_source_positions,attn_head,7,8,L7H8,-0.0034282659652923177,0.027438044548034668,0.03401385247707367,True
olmo_1b_base,writer_source_positions,attn_head,7,9,L7H9,0.0023025731863059538,0.0004239976406097412,-0.003992602229118347,True
olmo_1b_base,writer_source_positions,attn_head,7,10,L7H10,0.009607255172385934,0.014435946941375732,-0.003991872072219849,True
olmo_1b_base,writer_source_positions,attn_head,7,11,L7H11,0.0016429605047322336,0.0035501420497894287,0.0003987550735473633,True
olmo_1b_base,writer_source_positions,attn_head,7,12,L7H12,0.0005985433316985507,-0.0167352557182312,-0.017883330583572388,True
olmo_1b_base,writer_source_positions,attn_head,7,13,L7H13,0.004576961714000139,0.001653134822845459,-0.0071260035037994385,True
olmo_1b_base,writer_source_positions,attn_head,7,14,L7H14,-0.008484188196765274,-0.010329514741897583,0.0059441328048706055,True
olmo_1b_base,writer_source_positions,attn_head,7,15,L7H15,0.0015412455832317128,0.005246102809906006,0.002289816737174988,True
olmo_1b_base,writer_source_positions,mlp,7,-1,L7MLP,0.04309557046393828,0.055431902408599854,-0.02723035216331482,True
olmo_1b_base,writer_source_positions,attn_head,8,0,L8H0,-0.002603149985189071,-0.001509249210357666,0.003483891487121582,True
olmo_1b_base,writer_source_positions,attn_head,8,1,L8H1,0.0006808754739167221,0.00042057037353515625,-0.0008854269981384277,True
olmo_1b_base,writer_source_positions,attn_head,8,2,L8H2,0.011061173372085426,0.013046085834503174,-0.008170515298843384,True
olmo_1b_base,writer_source_positions,attn_head,8,3,L8H3,-0.005197560240240809,-0.005501151084899902,0.004468366503715515,True
olmo_1b_base,writer_source_positions,attn_head,8,4,L8H4,0.0063150959377656635,0.012841880321502686,0.000728800892829895,True
olmo_1b_base,writer_source_positions,attn_head,8,5,L8H5,0.004306115534881972,0.001279205083847046,-0.006980419158935547,True
olmo_1b_base,writer_source_positions,attn_head,8,6,L8H6,-7.28077785307325e-05,0.0009007453918457031,0.0010403990745544434,True
olmo_1b_base,writer_source_positions,attn_head,8,7,L8H7,0.010212129953028417,0.027138203382492065,0.007550165057182312,True
olmo_1b_base,writer_source_positions,attn_head,8,8,L8H8,-0.0018989452582924308,-0.0069415271282196045,-0.003299131989479065,True
olmo_1b_base,writer_source_positions,attn_head,8,9,L8H9,-0.0017633512584551063,0.016823232173919678,0.0202055424451828,True
olmo_1b_base,writer_source_positions,attn_head,8,10,L8H10,0.02527554815393205,0.026346713304519653,-0.0221346914768219,True
olmo_1b_base,writer_source_positions,attn_head,8,11,L8H11,-0.016362367390132464,-0.03875240683555603,-0.0073675066232681274,True
olmo_1b_base,writer_source_positions,attn_head,8,12,L8H12,-0.0036192426639287878,-0.002725362777709961,0.0042167603969573975,True
olmo_1b_base,writer_source_positions,attn_head,8,13,L8H13,0.022129229767194565,0.013738960027694702,-0.028707444667816162,True
olmo_1b_base,writer_source_positions,attn_head,8,14,L8H14,-0.0022563108814456774,-0.00351029634475708,0.0008175671100616455,True
olmo_1b_base,writer_source_positions,attn_head,8,15,L8H15,-0.00850490718367751,-0.015059322118759155,0.001254066824913025,True
olmo_1b_base,writer_source_positions,mlp,8,-1,L8MLP,0.00777445219177283,0.04087364673614502,0.02596135437488556,True
olmo_1b_base,writer_source_positions,attn_head,9,0,L9H0,-0.005655242428072604,-0.011889666318893433,-0.0010422617197036743,True
olmo_1b_base,writer_source_positions,attn_head,9,1,L9H1,0.019311773830389106,0.019113689661026,-0.017928510904312134,True
olmo_1b_base,writer_source_positions,attn_head,9,2,L9H2,0.0012613877712608307,-0.003107398748397827,-0.005526885390281677,True
olmo_1b_base,writer_source_positions,attn_head,9,3,L9H3,0.0005781117847997215,-0.003777801990509033,-0.0048866868019104,True
olmo_1b_base,writer_source_positions,attn_head,9,4,L9H4,0.007027853947223372,0.010986566543579102,-0.0024936646223068237,True
olmo_1b_base,writer_source_positions,attn_head,9,5,L9H5,-0.060427379795499635,-0.06979250907897949,0.04611414670944214,True
olmo_1b_base,writer_source_positions,attn_head,9,6,L9H6,0.033550324647957847,0.039042890071868896,-0.025310486555099487,True
olmo_1b_base,writer_source_positions,attn_head,9,7,L9H7,0.0010944084294192212,-0.018143773078918457,-0.020242974162101746,True
olmo_1b_base,writer_source_positions,attn_head,9,8,L9H8,-0.011822097005411097,-0.011691480875015259,0.010984659194946289,True
olmo_1b_base,writer_source_positions,attn_head,9,9,L9H9,-0.017053979136982336,-0.027740418910980225,0.00497107207775116,True
olmo_1b_base,writer_source_positions,attn_head,9,10,L9H10,0.0028050105610898978,0.007092952728271484,0.0017126202583312988,True
olmo_1b_base,writer_source_positions,attn_head,9,11,L9H11,0.00428364083329326,0.0310727059841156,0.02285619080066681,True
olmo_1b_base,writer_source_positions,attn_head,9,12,L9H12,0.01196931290416882,0.01490640640258789,-0.00805211067199707,True
olmo_1b_base,writer_source_positions,attn_head,9,13,L9H13,0.0011190505840819917,0.004343986511230469,0.0021975189447402954,True
olmo_1b_base,writer_source_positions,attn_head,9,14,L9H14,0.0026815744969547286,0.001902252435684204,-0.003241315484046936,True
olmo_1b_base,writer_source_positions,attn_head,9,15,L9H15,0.012172742747169861,0.015219360589981079,-0.008129358291625977,True
olmo_1b_base,writer_source_positions,mlp,9,-1,L9MLP,-0.05103917721927579,-0.05851787328720093,0.039381131529808044,True
olmo_1b_base,writer_source_positions,attn_head,10,0,L10H0,-0.011692710156133532,-0.004904031753540039,0.017523929476737976,True
olmo_1b_base,writer_source_positions,attn_head,10,1,L10H1,0.010156358821778724,0.017284393310546875,-0.002196669578552246,True
olmo_1b_base,writer_source_positions,attn_head,10,2,L10H2,-0.0019231057567165215,0.004957526922225952,0.008646264672279358,True
olmo_1b_base,writer_source_positions,attn_head,10,3,L10H3,-0.01660048425096745,-0.03143051266670227,0.00041112303733825684,True
olmo_1b_base,writer_source_positions,attn_head,10,4,L10H4,0.004559536634268552,0.001758575439453125,-0.006987139582633972,True
